location_lact_list,Lactation Group,date_time_period_start,date_time_period_end,ct_animal_days_elig,days_in_time_period,deno_type,dop_start,dop_end,dop_in_interval,dop_complete,day_of_phase_group,metric,ct
Herd 2108e,LACT 3,2020-10-05,2021-10-06,203876,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,557.0382513661202
Herd 2108e,LACT 4,2020-10-05,2021-10-06,96251,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,635
Herd 2108e,LACT 4,2020-10-05,2021-10-06,96251,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animals,635
Herd 2108e,LACT 4,2020-10-05,2021-10-06,96251,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,262.9808743169399
Herd 2108e,LACT 5+,2020-10-05,2021-10-06,37978,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_lactations,292
Herd 2108e,LACT 5+,2020-10-05,2021-10-06,37978,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animals,253
Herd 2108e,LACT 5+,2020-10-05,2021-10-06,37978,366,lact_5+,NA,NA,NA,NA,NA to NA,ct_animal_time_periods,103.76502732240438
Herd 2108e,Heifer,2020-10-05,2021-10-06,440173,366,dop_lact_basic,-Inf,0,Inf,incomplete,-Inf to 0,ct_animal_lactations,3492
Herd 2108e,Heifer,2020-10-05,2021-10-06,440173,366,dop_lact_basic,-Inf,0,Inf,incomplete,-Inf to 0,ct_animals,3492
Herd 2108e,Heifer,2020-10-05,2021-10-06,440173,366,dop_lact_basic,-Inf,0,Inf,incomplete,-Inf to 0,ct_animal_time_periods,1202.6584699453551
Herd 2108e,Heifer,2020-10-05,2021-10-06,436873,366,dop_lact_basic,0,29,29,complete,0 to 29,ct_animal_lactations,3240
Herd 2108e,Heifer,2020-10-05,2021-10-06,436873,366,dop_lact_basic,0,29,29,complete,0 to 29,ct_animals,3240
Herd 2108e,Heifer,2020-10-05,2021-10-06,436873,366,dop_lact_basic,0,29,29,complete,0 to 29,ct_animal_time_periods,1193.6420765027322
Herd 2108e,Heifer,2020-10-05,2021-10-06,69422,366,dop_lact_basic,0,29,29,incomplete,0 to 29,ct_animal_lactations,492
Herd 2108e,Heifer,2020-10-05,2021-10-06,69422,366,dop_lact_basic,0,29,29,incomplete,0 to 29,ct_animals,492
Herd 2108e,Heifer,2020-10-05,2021-10-06,69422,366,dop_lact_basic,0,29,29,incomplete,0 to 29,ct_animal_time_periods,189.6775956284153
Herd 2108e,Heifer,2020-10-05,2021-10-06,494467,366,dop_lact_basic,30,59,29,complete,30 to 59,ct_animal_lactations,3173
Herd 2108e,Heifer,2020-10-05,2021-10-06,494467,366,dop_lact_basic,30,59,29,complete,30 to 59,ct_animals,3173
Herd 2108e,Heifer,2020-10-05,2021-10-06,494467,366,dop_lact_basic,30,59,29,complete,30 to 59,ct_animal_time_periods,1351.0027322404371
Herd 2108e,Heifer,2020-10-05,2021-10-06,81127,366,dop_lact_basic,30,59,29,incomplete,30 to 59,ct_animal_lactations,555
Herd 2108e,Heifer,2020-10-05,2021-10-06,81127,366,dop_lact_basic,30,59,29,incomplete,30 to 59,ct_animals,555
Herd 2108e,Heifer,2020-10-05,2021-10-06,81127,366,dop_lact_basic,30,59,29,incomplete,30 to 59,ct_animal_time_periods,221.6584699453552
Herd 2108e,Heifer,2020-10-05,2021-10-06,552338,366,dop_lact_basic,60,89,29,complete,60 to 89,ct_animal_lactations,3162
Herd 2108e,Heifer,2020-10-05,2021-10-06,552338,366,dop_lact_basic,60,89,29,complete,60 to 89,ct_animals,3162
Herd 2108e,Heifer,2020-10-05,2021-10-06,552338,366,dop_lact_basic,60,89,29,complete,60 to 89,ct_animal_time_periods,1509.120218579235
Herd 2108e,Heifer,2020-10-05,2021-10-06,72993,366,dop_lact_basic,60,89,29,incomplete,60 to 89,ct_animal_lactations,449
Herd 2108e,Heifer,2020-10-05,2021-10-06,72993,366,dop_lact_basic,60,89,29,incomplete,60 to 89,ct_animals,449
Herd 2108e,Heifer,2020-10-05,2021-10-06,72993,366,dop_lact_basic,60,89,29,incomplete,60 to 89,ct_animal_time_periods,199.4344262295082
Herd 2108e,Heifer,2020-10-05,2021-10-06,588656,366,dop_lact_basic,90,119,29,complete,90 to 119,ct_animal_lactations,3084
Herd 2108e,Heifer,2020-10-05,2021-10-06,588656,366,dop_lact_basic,90,119,29,complete,90 to 119,ct_animals,3084
Herd 2108e,Heifer,2020-10-05,2021-10-06,588656,366,dop_lact_basic,90,119,29,complete,90 to 119,ct_animal_time_periods,1608.3497267759562
Herd 2108e,Heifer,2020-10-05,2021-10-06,73966,366,dop_lact_basic,90,119,29,incomplete,90 to 119,ct_animal_lactations,415
Herd 2108e,Heifer,2020-10-05,2021-10-06,73966,366,dop_lact_basic,90,119,29,incomplete,90 to 119,ct_animals,415
Herd 2108e,Heifer,2020-10-05,2021-10-06,73966,366,dop_lact_basic,90,119,29,incomplete,90 to 119,ct_animal_time_periods,202.0928961748634
Herd 2108e,Heifer,2020-10-05,2021-10-06,616636,366,dop_lact_basic,120,149,29,complete,120 to 149,ct_animal_lactations,2980
Herd 2108e,Heifer,2020-10-05,2021-10-06,616636,366,dop_lact_basic,120,149,29,complete,120 to 149,ct_animals,2980
Herd 2108e,Heifer,2020-10-05,2021-10-06,616636,366,dop_lact_basic,120,149,29,complete,120 to 149,ct_animal_time_periods,1684.7978142076502
Herd 2108e,Heifer,2020-10-05,2021-10-06,91445,366,dop_lact_basic,120,149,29,incomplete,120 to 149,ct_animal_lactations,432
Herd 2108e,Heifer,2020-10-05,2021-10-06,91445,366,dop_lact_basic,120,149,29,incomplete,120 to 149,ct_animals,432
Herd 2108e,Heifer,2020-10-05,2021-10-06,91445,366,dop_lact_basic,120,149,29,incomplete,120 to 149,ct_animal_time_periods,249.84972677595627
Herd 2108e,Heifer,2020-10-05,2021-10-06,648525,366,dop_lact_basic,150,179,29,complete,150 to 179,ct_animal_lactations,2858
Herd 2108e,Heifer,2020-10-05,2021-10-06,648525,366,dop_lact_basic,150,179,29,complete,150 to 179,ct_animals,2858
Herd 2108e,Heifer,2020-10-05,2021-10-06,648525,366,dop_lact_basic,150,179,29,complete,150 to 179,ct_animal_time_periods,1771.9262295081967
Herd 2108e,Heifer,2020-10-05,2021-10-06,106697,366,dop_lact_basic,150,179,29,incomplete,150 to 179,ct_animal_lactations,489
Herd 2108e,Heifer,2020-10-05,2021-10-06,106697,366,dop_lact_basic,150,179,29,incomplete,150 to 179,ct_animals,489
Herd 2108e,Heifer,2020-10-05,2021-10-06,106697,366,dop_lact_basic,150,179,29,incomplete,150 to 179,ct_animal_time_periods,291.5218579234973
Herd 2108e,Heifer,2020-10-05,2021-10-06,682570,366,dop_lact_basic,180,209,29,complete,180 to 209,ct_animal_lactations,2773
Herd 2108e,Heifer,2020-10-05,2021-10-06,682570,366,dop_lact_basic,180,209,29,complete,180 to 209,ct_animals,2773
Herd 2108e,Heifer,2020-10-05,2021-10-06,682570,366,dop_lact_basic,180,209,29,complete,180 to 209,ct_animal_time_periods,1864.9453551912568
Herd 2108e,Heifer,2020-10-05,2021-10-06,82160,366,dop_lact_basic,180,209,29,incomplete,180 to 209,ct_animal_lactations,404
Herd 2108e,Heifer,2020-10-05,2021-10-06,82160,366,dop_lact_basic,180,209,29,incomplete,180 to 209,ct_animals,404
Herd 2108e,Heifer,2020-10-05,2021-10-06,82160,366,dop_lact_basic,180,209,29,incomplete,180 to 209,ct_animal_time_periods,224.4808743169399
Herd 2108e,Heifer,2020-10-05,2021-10-06,685790,366,dop_lact_basic,210,239,29,complete,210 to 239,ct_animal_lactations,2610
Herd 2108e,Heifer,2020-10-05,2021-10-06,685790,366,dop_lact_basic,210,239,29,complete,210 to 239,ct_animals,2610
Herd 2108e,Heifer,2020-10-05,2021-10-06,685790,366,dop_lact_basic,210,239,29,complete,210 to 239,ct_animal_time_periods,1873.7431693989072
Herd 2108e,Heifer,2020-10-05,2021-10-06,99462,366,dop_lact_basic,210,239,29,incomplete,210 to 239,ct_animal_lactations,438
Herd 2108e,Heifer,2020-10-05,2021-10-06,99462,366,dop_lact_basic,210,239,29,incomplete,210 to 239,ct_animals,438
Herd 2108e,Heifer,2020-10-05,2021-10-06,99462,366,dop_lact_basic,210,239,29,incomplete,210 to 239,ct_animal_time_periods,271.75409836065575
Herd 2108e,Heifer,2020-10-05,2021-10-06,689581,366,dop_lact_basic,240,269,29,complete,240 to 269,ct_animal_lactations,2444
Herd 2108e,Heifer,2020-10-05,2021-10-06,689581,366,dop_lact_basic,240,269,29,complete,240 to 269,ct_animals,2444
Herd 2108e,Heifer,2020-10-05,2021-10-06,689581,366,dop_lact_basic,240,269,29,complete,240 to 269,ct_animal_time_periods,1884.1010928961748
Herd 2108e,Heifer,2020-10-05,2021-10-06,93135,366,dop_lact_basic,240,269,29,incomplete,240 to 269,ct_animal_lactations,426
Herd 2108e,Heifer,2020-10-05,2021-10-06,93135,366,dop_lact_basic,240,269,29,incomplete,240 to 269,ct_animals,426
